Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
CHINA TOURISM GROUP DUTY FREE CORP,CNE100000G29,SBP3R4667,0.0%,Consumer Discretionary,China,BB
CHINA TOWER CORP LTD H,CNE100003688,SBFZ2PK04,0.0%,Communication Services,China,B
CHINA TRADITIONAL CHI MEDICINE CO,HK0000056256,S69717791,0.0%,Health Care,China,BB
CHINA TRAVEL INTERNATIONAL INVESTM,HK0308001558,S61972857,0.0%,Consumer Discretionary,China,B
CHINA UNITED NETWORK COMMUNICATION,CNE000001CS2,SBP3R2X95,0.0%,Communication Services,China,B
CHINA VANKE LTD A,CNE0000000T2,SBD5CPW81,0.0%,Real Estate,China,BBB
CHINA VANKE LTD H,CNE100001SR9,SBN320P89,0.0%,Real Estate,China,BBB
CHINA XLX FERTILISER LTD,SG1V07936171,SB4WMJZ90,0.0%,Materials,China,
CHINA YANGTZE POWER LTD A,CNE000001G87,SBP3R2M89,0.0%,Utilities,China,BB
CHINA YUHUA EDUCATION CORPORATION,KYG2120K1094,SBYWPGC46,0.0%,Consumer Discretionary,China,B
CHINA ZHENHUA (GROUP) SCIENCE & TE,CNE000000RY0,SBD5C8852,0.0%,Information Technology,China,CCC
CHINA ZHESHANG BANK LTD A,CNE100003PS9,SBK96BF09,0.0%,Financials,China,BBB
CHINA ZHONGWANG HOLDINGS LTD,KYG215AT1023,SB3VZ2201,0.0%,Materials,China,
CHINASOFT INTERNATIONAL LTD,KYG2110A1114,SBC9S4J55,0.0%,Information Technology,China,BB
CHINDATA GROUP HOLDING ADR REPRESE,US16955F1075,16955F107,0.0%,Information Technology,China,BB
CHONGQING BREWERY LTD A,CNE000000TL3,SBP3RCZ18,0.0%,Consumer Staples,China,BB
CHONGQING CHANGAN AUTOMOBILE LTD A,CNE000000R36,SBD5CP623,0.0%,Consumer Discretionary,China,B
CHONGQING FULING ZHACAI GROUP LTD,CNE100000WX1,SBFCCQ996,0.0%,Consumer Staples,China,B
CHONGQING RURAL COMMERCIAL BANK LT,CNE100003NZ9,SBJLWMG75,0.0%,Financials,China,BB
CHONGQING ZHIFEI BIOLOGICAL PRODUC,CNE100000V20,SBD5CJY83,0.0%,Health Care,China,B
CHOW TAI FOOK JEWELLERY GROUP LTD,KYG211461085,SB4R39F70,0.0%,Consumer Discretionary,China,BBB
CIFI EVER SUNSHINE SERVICES GROUP,KYG2139U1067,SBNT8LB36,0.0%,Real Estate,China,A
CIFI HOLDINGS (GROUP) LTD,KYG2140A1076,SB8Z00N30,0.0%,Real Estate,China,BBB
CIMC ENRIC HOLDINGS LTD,KYG2198S1093,SB0M6DX99,0.0%,Industrials,China,BB
CITIC LTD,HK0267001375,S61961520,0.0%,Industrials,China,BBB
CITIC SECURITIES COMPANY LTD H,CNE1000016V2,BRSCVZ5N7,0.0%,Financials,China,BB
CITIC SECURITIES LTD A,CNE000001DB6,SBP3R2J59,0.0%,Financials,China,BB
CMGE TECHNOLOGY GROUP LTD,KYG2347J1094,SBK229959,0.0%,Communication Services,China,
